Epoch 0, lr 0.001
(57,300) 0 step loss : 0.001017
(57,300) epoch loss : 0.016276
Epoch 58, lr 0.0001

(58,300) 0 step loss : 0.001014
(58,300) epoch loss : 0.016216
Epoch 59, lr 0.0001

(59,300) 0 step loss : 0.001009
(59,300) epoch loss : 0.016143
Epoch 60, lr 0.0001

(60,300) 0 step loss : 0.001004
(60,300) epoch loss : 0.016056
Epoch 61, lr 0.0001

(61,300) 0 step loss : 0.000993
(61,300) epoch loss : 0.015893
Epoch 62, lr 0.0001

(62,300) 0 step loss : 0.000984
(62,300) epoch loss : 0.015750
Epoch 63, lr 0.0001

(63,300) 0 step loss : 0.000993
(63,300) epoch loss : 0.015894
Epoch 64, lr 0.0001

(64,300) 0 step loss : 0.000986
(64,300) epoch loss : 0.015782
Epoch 65, lr 0.0001

(65,300) 0 step loss : 0.000981
(65,300) epoch loss : 0.015702
Epoch 66, lr 0.0001

(66,300) 0 step loss : 0.000980
(66,300) epoch loss : 0.015684
Epoch 67, lr 0.0001

(67,300) 0 step loss : 0.000974
(67,300) epoch loss : 0.015582
Epoch 68, lr 0.0001

(68,300) 0 step loss : 0.000976
(68,300) epoch loss : 0.015616
Epoch 69, lr 0.0001

(69,300) 0 step loss : 0.000976
(69,300) epoch loss : 0.015621
Epoch 70, lr 0.0001

(70,300) 0 step loss : 0.000969
(70,300) epoch loss : 0.015510
Epoch 71, lr 0.0001

(71,300) 0 step loss : 0.000963
(71,300) epoch loss : 0.015415
Epoch 72, lr 0.0001

(72,300) 0 step loss : 0.000965
(72,300) epoch loss : 0.015442
Epoch 73, lr 0.0001

(73,300) 0 step loss : 0.000964
(73,300) epoch loss : 0.015422
Epoch 74, lr 0.0001

(74,300) 0 step loss : 0.000966
(74,300) epoch loss : 0.015463
Epoch 75, lr 0.0001

(75,300) 0 step loss : 0.000958
(75,300) epoch loss : 0.015330
Epoch 76, lr 0.0001

(76,300) 0 step loss : 0.000946
(76,300) epoch loss : 0.015137
Epoch 77, lr 0.0001

(77,300) 0 step loss : 0.000949
(77,300) epoch loss : 0.015184
Epoch 78, lr 0.0001

(78,300) 0 step loss : 0.000953
(78,300) epoch loss : 0.015243
Epoch 79, lr 0.0001

(79,300) 0 step loss : 0.000937
(79,300) epoch loss : 0.014984
Epoch 80, lr 0.0001

(80,300) 0 step loss : 0.000946
(80,300) epoch loss : 0.015134
Epoch 81, lr 0.0001

(81,300) 0 step loss : 0.000936
(81,300) epoch loss : 0.014981
Epoch 82, lr 0.0001

(82,300) 0 step loss : 0.000932
(82,300) epoch loss : 0.014914
Epoch 83, lr 0.0001

(83,300) 0 step loss : 0.000925
(83,300) epoch loss : 0.014797
Epoch 84, lr 0.0001

(84,300) 0 step loss : 0.000935
(84,300) epoch loss : 0.014965
Epoch 85, lr 0.0001

(85,300) 0 step loss : 0.000915
(85,300) epoch loss : 0.014644
Epoch 86, lr 0.0001

(86,300) 0 step loss : 0.000912
(86,300) epoch loss : 0.014595
Epoch 87, lr 0.0001

(87,300) 0 step loss : 0.000914
(87,300) epoch loss : 0.014618
Epoch 88, lr 0.0001

(88,300) 0 step loss : 0.000907
(88,300) epoch loss : 0.014518
Epoch 89, lr 0.0001

(89,300) 0 step loss : 0.000904
(89,300) epoch loss : 0.014458
Epoch 90, lr 0.0001

(90,300) 0 step loss : 0.000906
(90,300) epoch loss : 0.014489
Epoch 91, lr 0.0001

(91,300) 0 step loss : 0.000899
(91,300) epoch loss : 0.014378
Epoch 92, lr 0.0001

(92,300) 0 step loss : 0.000894
(92,300) epoch loss : 0.014301
Epoch 93, lr 0.0001

(93,300) 0 step loss : 0.000887
(93,300) epoch loss : 0.014191
Epoch 94, lr 0.0001

(94,300) 0 step loss : 0.000882
(94,300) epoch loss : 0.014110
Epoch 95, lr 0.0001

(95,300) 0 step loss : 0.000881
(95,300) epoch loss : 0.014093
Epoch 96, lr 0.0001

(96,300) 0 step loss : 0.000877
(96,300) epoch loss : 0.014037
Epoch 97, lr 0.0001

(97,300) 0 step loss : 0.000883
(97,300) epoch loss : 0.014122
Epoch 98, lr 0.0001

(98,300) 0 step loss : 0.000877
(98,300) epoch loss : 0.014036
Epoch 99, lr 0.0001

(99,300) 0 step loss : 0.000865
(99,300) epoch loss : 0.013840
Epoch 100, lr 0.0001

(100,300) 0 step loss : 0.000868
(100,300) epoch loss : 0.013887
Epoch 101, lr 0.0001

(101,300) 0 step loss : 0.000868
(101,300) epoch loss : 0.013894
Epoch 102, lr 0.0001

(102,300) 0 step loss : 0.000865
(102,300) epoch loss : 0.013839
Epoch 103, lr 0.0001

(103,300) 0 step loss : 0.000873
(103,300) epoch loss : 0.013966
Epoch 104, lr 0.0001

(104,300) 0 step loss : 0.000867
(104,300) epoch loss : 0.013871
Epoch 105, lr 0.0001

(105,300) 0 step loss : 0.000872
(105,300) epoch loss : 0.013944
Epoch 106, lr 0.0001

(106,300) 0 step loss : 0.000864
(106,300) epoch loss : 0.013832
Epoch 107, lr 0.0001

(107,300) 0 step loss : 0.000855
(107,300) epoch loss : 0.013686
Epoch 108, lr 0.0001

(108,300) 0 step loss : 0.000861
(108,300) epoch loss : 0.013772
Epoch 109, lr 0.0001

(109,300) 0 step loss : 0.000853
(109,300) epoch loss : 0.013655
Epoch 110, lr 0.0001

(110,300) 0 step loss : 0.000844
(110,300) epoch loss : 0.013505
Epoch 111, lr 0.0001

(111,300) 0 step loss : 0.000839
(111,300) epoch loss : 0.013431
Epoch 112, lr 0.0001

(112,300) 0 step loss : 0.000856
(112,300) epoch loss : 0.013693
Epoch 113, lr 0.0001

(113,300) 0 step loss : 0.000838
(113,300) epoch loss : 0.013402
Epoch 114, lr 0.0001

(114,300) 0 step loss : 0.000843
(114,300) epoch loss : 0.013483
Epoch 115, lr 0.0001

(115,300) 0 step loss : 0.000849
(115,300) epoch loss : 0.013587
Epoch 116, lr 0.0001

(116,300) 0 step loss : 0.000845
(116,300) epoch loss : 0.013518
Epoch 117, lr 0.0001

(117,300) 0 step loss : 0.000834
(117,300) epoch loss : 0.013340
Epoch 118, lr 0.0001

(118,300) 0 step loss : 0.000827
(118,300) epoch loss : 0.013237
Epoch 119, lr 0.0001

(119,300) 0 step loss : 0.000824
(119,300) epoch loss : 0.013179
Epoch 120, lr 0.0001

(120,300) 0 step loss : 0.000834
(120,300) epoch loss : 0.013347
Epoch 121, lr 0.0001

(121,300) 0 step loss : 0.000821
(121,300) epoch loss : 0.013129
Epoch 122, lr 0.0001

(122,300) 0 step loss : 0.000816
(122,300) epoch loss : 0.013057
Epoch 123, lr 0.0001

(123,300) 0 step loss : 0.000813
(123,300) epoch loss : 0.013016
Epoch 124, lr 0.0001

(124,300) 0 step loss : 0.000795
(124,300) epoch loss : 0.012727
Epoch 125, lr 0.0001

(125,300) 0 step loss : 0.000809
(125,300) epoch loss : 0.012940
Epoch 126, lr 0.0001

(126,300) 0 step loss : 0.000801
(126,300) epoch loss : 0.012819
Epoch 127, lr 0.0001

(127,300) 0 step loss : 0.000802
(127,300) epoch loss : 0.012833
Epoch 128, lr 0.0001

(128,300) 0 step loss : 0.000794
(128,300) epoch loss : 0.012704
Epoch 129, lr 0.0001

(129,300) 0 step loss : 0.000794
(129,300) epoch loss : 0.012705
Epoch 130, lr 0.0001

(130,300) 0 step loss : 0.000795
(130,300) epoch loss : 0.012723
Epoch 131, lr 0.0001

(131,300) 0 step loss : 0.000783
(131,300) epoch loss : 0.012525
Epoch 132, lr 0.0001

(132,300) 0 step loss : 0.000777
(132,300) epoch loss : 0.012435
Epoch 133, lr 0.0001

(133,300) 0 step loss : 0.000783
(133,300) epoch loss : 0.012533
Epoch 134, lr 0.0001

(134,300) 0 step loss : 0.000780
(134,300) epoch loss : 0.012484
Epoch 135, lr 0.0001

(135,300) 0 step loss : 0.000772
(135,300) epoch loss : 0.012354
Epoch 136, lr 0.0001

(136,300) 0 step loss : 0.000764
(136,300) epoch loss : 0.012221
Epoch 137, lr 0.0001

(137,300) 0 step loss : 0.000761
(137,300) epoch loss : 0.012169
Epoch 138, lr 0.0001

(138,300) 0 step loss : 0.000757
(138,300) epoch loss : 0.012115
Epoch 139, lr 0.0001

(139,300) 0 step loss : 0.000757
(139,300) epoch loss : 0.012113
Epoch 140, lr 0.0001

(140,300) 0 step loss : 0.000751
(140,300) epoch loss : 0.012016
Epoch 141, lr 0.0001

(141,300) 0 step loss : 0.000753
(141,300) epoch loss : 0.012047
Epoch 142, lr 0.0001

(142,300) 0 step loss : 0.000752
(142,300) epoch loss : 0.012031
Epoch 143, lr 0.0001

(143,300) 0 step loss : 0.000745
(143,300) epoch loss : 0.011926
Epoch 144, lr 0.0001

(144,300) 0 step loss : 0.000747
(144,300) epoch loss : 0.011951
Epoch 145, lr 0.0001

(145,300) 0 step loss : 0.000747
(145,300) epoch loss : 0.011944
Epoch 146, lr 0.0001

(146,300) 0 step loss : 0.000746
(146,300) epoch loss : 0.011933
Epoch 147, lr 0.0001

(147,300) 0 step loss : 0.000738
(147,300) epoch loss : 0.011801
Epoch 148, lr 0.0001

(148,300) 0 step loss : 0.000738
(148,300) epoch loss : 0.011805
Epoch 149, lr 0.0001

(149,300) 0 step loss : 0.000736
(149,300) epoch loss : 0.011774
Epoch 150, lr 0.0001

(150,300) 0 step loss : 0.000730
(150,300) epoch loss : 0.011686
Epoch 151, lr 0.0001

(151,300) 0 step loss : 0.000720
(151,300) epoch loss : 0.011524
Epoch 152, lr 0.0001

(152,300) 0 step loss : 0.000724
(152,300) epoch loss : 0.011581
Epoch 153, lr 0.0001

(153,300) 0 step loss : 0.000714
(153,300) epoch loss : 0.011427
Epoch 154, lr 0.0001

(154,300) 0 step loss : 0.000720
(154,300) epoch loss : 0.011517
Epoch 155, lr 0.0001

(155,300) 0 step loss : 0.000720
(155,300) epoch loss : 0.011518
Epoch 156, lr 0.0001

(156,300) 0 step loss : 0.000722
(156,300) epoch loss : 0.011555
Epoch 157, lr 0.0001

(157,300) 0 step loss : 0.000710
(157,300) epoch loss : 0.011355
Epoch 158, lr 0.0001

(158,300) 0 step loss : 0.000712
(158,300) epoch loss : 0.011397
Epoch 159, lr 0.0001

(159,300) 0 step loss : 0.000706
(159,300) epoch loss : 0.011299
Epoch 160, lr 0.0001

(160,300) 0 step loss : 0.000709
(160,300) epoch loss : 0.011337
Epoch 161, lr 0.0001

(161,300) 0 step loss : 0.000705
(161,300) epoch loss : 0.011284
Epoch 162, lr 0.0001

(162,300) 0 step loss : 0.000704
(162,300) epoch loss : 0.011264
Epoch 163, lr 0.0001

(163,300) 0 step loss : 0.000701
(163,300) epoch loss : 0.011212
Epoch 164, lr 0.0001

(164,300) 0 step loss : 0.000698
(164,300) epoch loss : 0.011175
Epoch 165, lr 0.0001

(165,300) 0 step loss : 0.000698
(165,300) epoch loss : 0.011167
Epoch 166, lr 0.0001

(166,300) 0 step loss : 0.000695
(166,300) epoch loss : 0.011117
Epoch 167, lr 0.0001

(167,300) 0 step loss : 0.000691
(167,300) epoch loss : 0.011049
Epoch 168, lr 0.0001

(168,300) 0 step loss : 0.000689
(168,300) epoch loss : 0.011025
Epoch 169, lr 0.0001

(169,300) 0 step loss : 0.000690
(169,300) epoch loss : 0.011034
Epoch 170, lr 0.0001

(170,300) 0 step loss : 0.000686
(170,300) epoch loss : 0.010976
Epoch 171, lr 0.0001

(171,300) 0 step loss : 0.000688
(171,300) epoch loss : 0.011012
Epoch 172, lr 0.0001

(172,300) 0 step loss : 0.000688
(172,300) epoch loss : 0.011014
Epoch 173, lr 0.0001

(173,300) 0 step loss : 0.000688
(173,300) epoch loss : 0.011010
Epoch 174, lr 0.0001

(174,300) 0 step loss : 0.000680
(174,300) epoch loss : 0.010877
Epoch 175, lr 0.0001

(175,300) 0 step loss : 0.000678
(175,300) epoch loss : 0.010855
Epoch 176, lr 0.0001

(176,300) 0 step loss : 0.000678
(176,300) epoch loss : 0.010852
Epoch 177, lr 0.0001

(177,300) 0 step loss : 0.000675
(177,300) epoch loss : 0.010807
Epoch 178, lr 0.0001

(178,300) 0 step loss : 0.000673
(178,300) epoch loss : 0.010771
Epoch 179, lr 0.0001

(179,300) 0 step loss : 0.000670
(179,300) epoch loss : 0.010712
Epoch 180, lr 0.0001

(180,300) 0 step loss : 0.000666
(180,300) epoch loss : 0.010659
Epoch 181, lr 0.0001

(181,300) 0 step loss : 0.000662
(181,300) epoch loss : 0.010586
Epoch 182, lr 0.0001

(182,300) 0 step loss : 0.000668
(182,300) epoch loss : 0.010685
Epoch 183, lr 0.0001

(183,300) 0 step loss : 0.000657
(183,300) epoch loss : 0.010514
Epoch 184, lr 0.0001

(184,300) 0 step loss : 0.000659
(184,300) epoch loss : 0.010547
Epoch 185, lr 0.0001

(185,300) 0 step loss : 0.000658
(185,300) epoch loss : 0.010523
Epoch 186, lr 0.0001

(186,300) 0 step loss : 0.000645
(186,300) epoch loss : 0.010320
Epoch 187, lr 0.0001

(187,300) 0 step loss : 0.000660
(187,300) epoch loss : 0.010552
Epoch 188, lr 0.0001

(188,300) 0 step loss : 0.000650
(188,300) epoch loss : 0.010395
Epoch 189, lr 0.0001

(189,300) 0 step loss : 0.000645
(189,300) epoch loss : 0.010319
Epoch 190, lr 0.0001

(190,300) 0 step loss : 0.000645
(190,300) epoch loss : 0.010326
Epoch 191, lr 0.0001

(191,300) 0 step loss : 0.000646
(191,300) epoch loss : 0.010336
Epoch 192, lr 0.0001

(192,300) 0 step loss : 0.000646
(192,300) epoch loss : 0.010331
Epoch 193, lr 0.0001

(193,300) 0 step loss : 0.000639
(193,300) epoch loss : 0.010227
Epoch 194, lr 0.0001

(194,300) 0 step loss : 0.000641
(194,300) epoch loss : 0.010254
Epoch 195, lr 0.0001

(195,300) 0 step loss : 0.000637
(195,300) epoch loss : 0.010189
Epoch 196, lr 0.0001

(196,300) 0 step loss : 0.000628
(196,300) epoch loss : 0.010052
Epoch 197, lr 0.0001

(197,300) 0 step loss : 0.000633
(197,300) epoch loss : 0.010134
Epoch 198, lr 0.0001

(198,300) 0 step loss : 0.000634
(198,300) epoch loss : 0.010147
Epoch 199, lr 0.0001

(199,300) 0 step loss : 0.000630
(199,300) epoch loss : 0.010080
Epoch 200, lr 0.0001

(200,300) 0 step loss : 0.000632
(200,300) epoch loss : 0.010114
Epoch 201, lr 0.0001

(201,300) 0 step loss : 0.000621
(201,300) epoch loss : 0.009943
Epoch 202, lr 0.0001

(202,300) 0 step loss : 0.000621
(202,300) epoch loss : 0.009933
Epoch 203, lr 0.0001

(203,300) 0 step loss : 0.000610
(203,300) epoch loss : 0.009765
Epoch 204, lr 0.0001

(204,300) 0 step loss : 0.000614
(204,300) epoch loss : 0.009819
Epoch 205, lr 0.0001

(205,300) 0 step loss : 0.000610
(205,300) epoch loss : 0.009767
Epoch 206, lr 0.0001

(206,300) 0 step loss : 0.000617
(206,300) epoch loss : 0.009874
Epoch 207, lr 0.0001

(207,300) 0 step loss : 0.000602
(207,300) epoch loss : 0.009637
Epoch 208, lr 0.0001

(208,300) 0 step loss : 0.000605
(208,300) epoch loss : 0.009686
Epoch 209, lr 0.0001

(209,300) 0 step loss : 0.000604
(209,300) epoch loss : 0.009668
Epoch 210, lr 0.0001

(210,300) 0 step loss : 0.000594
(210,300) epoch loss : 0.009503
Epoch 211, lr 0.0001

(211,300) 0 step loss : 0.000600
(211,300) epoch loss : 0.009596
Epoch 212, lr 0.0001

(212,300) 0 step loss : 0.000589
(212,300) epoch loss : 0.009422
Epoch 213, lr 0.0001

(213,300) 0 step loss : 0.000594
(213,300) epoch loss : 0.009508
Epoch 214, lr 0.0001

(214,300) 0 step loss : 0.000585
(214,300) epoch loss : 0.009361
Epoch 215, lr 0.0001

(215,300) 0 step loss : 0.000589
(215,300) epoch loss : 0.009428
Epoch 216, lr 0.0001

(216,300) 0 step loss : 0.000585
(216,300) epoch loss : 0.009359
Epoch 217, lr 0.0001

(217,300) 0 step loss : 0.000585
(217,300) epoch loss : 0.009355
Epoch 218, lr 0.0001

(218,300) 0 step loss : 0.000574
(218,300) epoch loss : 0.009189
Epoch 219, lr 0.0001

(219,300) 0 step loss : 0.000573
(219,300) epoch loss : 0.009168
Epoch 220, lr 0.0001

(220,300) 0 step loss : 0.000573
(220,300) epoch loss : 0.009164
Epoch 221, lr 0.0001

(221,300) 0 step loss : 0.000567
(221,300) epoch loss : 0.009069
Epoch 222, lr 0.0001

(222,300) 0 step loss : 0.000572
(222,300) epoch loss : 0.009150
Epoch 223, lr 0.0001

(223,300) 0 step loss : 0.000567
(223,300) epoch loss : 0.009070
Epoch 224, lr 0.0001

(224,300) 0 step loss : 0.000568
(224,300) epoch loss : 0.009087
Epoch 225, lr 0.0001

(225,300) 0 step loss : 0.000568
(225,300) epoch loss : 0.009085
Epoch 226, lr 0.0001

(226,300) 0 step loss : 0.000566
(226,300) epoch loss : 0.009054
Epoch 227, lr 0.0001

(227,300) 0 step loss : 0.000566
(227,300) epoch loss : 0.009051
Epoch 228, lr 0.0001

(228,300) 0 step loss : 0.000563
(228,300) epoch loss : 0.009009
Epoch 229, lr 0.0001

(229,300) 0 step loss : 0.000559
(229,300) epoch loss : 0.008943
Epoch 230, lr 0.0001

(230,300) 0 step loss : 0.000557
(230,300) epoch loss : 0.008913
Epoch 231, lr 0.0001

(231,300) 0 step loss : 0.000559
(231,300) epoch loss : 0.008949
Epoch 232, lr 0.0001

(232,300) 0 step loss : 0.000552
(232,300) epoch loss : 0.008827
Epoch 233, lr 0.0001

(233,300) 0 step loss : 0.000553
(233,300) epoch loss : 0.008850
Epoch 234, lr 0.0001

(234,300) 0 step loss : 0.000546
(234,300) epoch loss : 0.008733
Epoch 235, lr 0.0001

(235,300) 0 step loss : 0.000553
(235,300) epoch loss : 0.008851
Epoch 236, lr 0.0001

(236,300) 0 step loss : 0.000542
(236,300) epoch loss : 0.008667
Epoch 237, lr 0.0001

(237,300) 0 step loss : 0.000548
(237,300) epoch loss : 0.008776
Epoch 238, lr 0.0001

(238,300) 0 step loss : 0.000544
(238,300) epoch loss : 0.008709
Epoch 239, lr 0.0001

(239,300) 0 step loss : 0.000543
(239,300) epoch loss : 0.008687
Epoch 240, lr 0.0001

(240,300) 0 step loss : 0.000542
(240,300) epoch loss : 0.008669
Epoch 241, lr 0.0001

(241,300) 0 step loss : 0.000537
(241,300) epoch loss : 0.008585
Epoch 242, lr 0.0001

(242,300) 0 step loss : 0.000537
(242,300) epoch loss : 0.008595
Epoch 243, lr 0.0001

(243,300) 0 step loss : 0.000540
(243,300) epoch loss : 0.008648
Epoch 244, lr 0.0001

(244,300) 0 step loss : 0.000531
(244,300) epoch loss : 0.008502
Epoch 245, lr 0.0001

(245,300) 0 step loss : 0.000539
(245,300) epoch loss : 0.008620
Epoch 246, lr 0.0001

(246,300) 0 step loss : 0.000535
(246,300) epoch loss : 0.008561
Epoch 247, lr 0.0001

(247,300) 0 step loss : 0.000533
(247,300) epoch loss : 0.008522
Epoch 248, lr 0.0001

(248,300) 0 step loss : 0.000525
(248,300) epoch loss : 0.008397
Epoch 249, lr 0.0001

(249,300) 0 step loss : 0.000534
(249,300) epoch loss : 0.008542
Epoch 250, lr 0.0001

(250,300) 0 step loss : 0.000522
(250,300) epoch loss : 0.008344
Epoch 251, lr 0.0001

(251,300) 0 step loss : 0.000525
(251,300) epoch loss : 0.008394
Epoch 252, lr 0.0001

(252,300) 0 step loss : 0.000515
(252,300) epoch loss : 0.008239
Epoch 253, lr 0.0001

(253,300) 0 step loss : 0.000516
(253,300) epoch loss : 0.008254
Epoch 254, lr 0.0001

(254,300) 0 step loss : 0.000513
(254,300) epoch loss : 0.008208
Epoch 255, lr 0.0001

(255,300) 0 step loss : 0.000510
(255,300) epoch loss : 0.008153
Epoch 256, lr 0.0001

(256,300) 0 step loss : 0.000509
(256,300) epoch loss : 0.008140
Epoch 257, lr 0.0001

(257,300) 0 step loss : 0.000506
(257,300) epoch loss : 0.008094
Epoch 258, lr 0.0001

(258,300) 0 step loss : 0.000517
(258,300) epoch loss : 0.008278
Epoch 259, lr 0.0001

(259,300) 0 step loss : 0.000513
(259,300) epoch loss : 0.008212
Epoch 260, lr 1e-05

(260,300) 0 step loss : 0.000502
(260,300) epoch loss : 0.008030
Epoch 261, lr 1e-05

(261,300) 0 step loss : 0.000497
(261,300) epoch loss : 0.007951
Epoch 262, lr 1e-05

(262,300) 0 step loss : 0.000490
(262,300) epoch loss : 0.007841
Epoch 263, lr 1e-05

(263,300) 0 step loss : 0.000484
(263,300) epoch loss : 0.007752
Epoch 264, lr 1e-05

(264,300) 0 step loss : 0.000482
(264,300) epoch loss : 0.007704
Epoch 265, lr 1e-05

(265,300) 0 step loss : 0.000480
(265,300) epoch loss : 0.007677
Epoch 266, lr 1e-05

(266,300) 0 step loss : 0.000477
(266,300) epoch loss : 0.007631
Epoch 267, lr 1e-05

(267,300) 0 step loss : 0.000473
(267,300) epoch loss : 0.007575
Epoch 268, lr 1e-05

(268,300) 0 step loss : 0.000471
(268,300) epoch loss : 0.007529
Epoch 269, lr 1e-05

(269,300) 0 step loss : 0.000468
(269,300) epoch loss : 0.007490
Epoch 270, lr 1e-05

(270,300) 0 step loss : 0.000467
(270,300) epoch loss : 0.007465
Epoch 271, lr 1e-05

(271,300) 0 step loss : 0.000465
(271,300) epoch loss : 0.007445
Epoch 272, lr 1e-05

(272,300) 0 step loss : 0.000463
(272,300) epoch loss : 0.007411
Epoch 273, lr 1e-05

(273,300) 0 step loss : 0.000461
(273,300) epoch loss : 0.007369
Epoch 274, lr 1e-05

(274,300) 0 step loss : 0.000458
(274,300) epoch loss : 0.007335
Epoch 275, lr 1e-05

(275,300) 0 step loss : 0.000457
(275,300) epoch loss : 0.007314
Epoch 276, lr 1e-05

(276,300) 0 step loss : 0.000456
(276,300) epoch loss : 0.007289
Epoch 277, lr 1e-05

(277,300) 0 step loss : 0.000454
(277,300) epoch loss : 0.007263
Epoch 278, lr 1e-05

(278,300) 0 step loss : 0.000452
(278,300) epoch loss : 0.007237
Epoch 279, lr 1e-05

(279,300) 0 step loss : 0.000451
(279,300) epoch loss : 0.007213
Epoch 280, lr 1e-05

(280,300) 0 step loss : 0.000449
(280,300) epoch loss : 0.007187
Epoch 281, lr 1e-05

(281,300) 0 step loss : 0.000448
(281,300) epoch loss : 0.007162
Epoch 282, lr 1e-05

(282,300) 0 step loss : 0.000446
(282,300) epoch loss : 0.007142
Epoch 283, lr 1e-05

(283,300) 0 step loss : 0.000445
(283,300) epoch loss : 0.007119
Epoch 284, lr 1e-05

(284,300) 0 step loss : 0.000443
(284,300) epoch loss : 0.007092
Epoch 285, lr 1e-05

(285,300) 0 step loss : 0.000442
(285,300) epoch loss : 0.007074
Epoch 286, lr 1e-05

(286,300) 0 step loss : 0.000441
(286,300) epoch loss : 0.007054
Epoch 287, lr 1e-05

(287,300) 0 step loss : 0.000440
(287,300) epoch loss : 0.007034
Epoch 288, lr 1e-05

(288,300) 0 step loss : 0.000438
(288,300) epoch loss : 0.007014
Epoch 289, lr 1e-05

(289,300) 0 step loss : 0.000437
(289,300) epoch loss : 0.006995
Epoch 290, lr 1.0000000000000002e-06

(290,300) 0 step loss : 0.000436
(290,300) epoch loss : 0.006977
Epoch 291, lr 1.0000000000000002e-06

(291,300) 0 step loss : 0.000436
(291,300) epoch loss : 0.006975
Epoch 292, lr 1.0000000000000002e-06

(292,300) 0 step loss : 0.000436
(292,300) epoch loss : 0.006972
Epoch 293, lr 1.0000000000000002e-06

(293,300) 0 step loss : 0.000436
(293,300) epoch loss : 0.006969
Epoch 294, lr 1.0000000000000002e-06

(294,300) 0 step loss : 0.000435
(294,300) epoch loss : 0.006965
Epoch 295, lr 1.0000000000000002e-06

(295,300) 0 step loss : 0.000435
(295,300) epoch loss : 0.006962
Epoch 296, lr 1.0000000000000002e-06

(296,300) 0 step loss : 0.000435
(296,300) epoch loss : 0.006959
Epoch 297, lr 1.0000000000000002e-06

(297,300) 0 step loss : 0.000435
(297,300) epoch loss : 0.006956
Epoch 298, lr 1.0000000000000002e-06

(298,300) 0 step loss : 0.000435
(298,300) epoch loss : 0.006953
Epoch 299, lr 1.0000000000000002e-06

(299,300) 0 step loss : 0.000434
(299,300) epoch loss : 0.006950
Epoch 300, lr 1e-05

(300,400) 0 step loss : 0.001268
(300,400) epoch loss : 0.020284
Epoch 301, lr 1e-05

(301,400) 0 step loss : 0.001249
(301,400) epoch loss : 0.019977
Epoch 302, lr 1e-05

(302,400) 0 step loss : 0.001227
(302,400) epoch loss : 0.019626
Epoch 303, lr 1e-05

(303,400) 0 step loss : 0.001208
(303,400) epoch loss : 0.019332
Epoch 304, lr 1e-05

(304,400) 0 step loss : 0.001192
(304,400) epoch loss : 0.019078
Epoch 305, lr 1e-05

(305,400) 0 step loss : 0.001177
(305,400) epoch loss : 0.018832
Epoch 306, lr 1e-05

(306,400) 0 step loss : 0.001162
(306,400) epoch loss : 0.018586
Epoch 307, lr 1e-05

(307,400) 0 step loss : 0.001149
(307,400) epoch loss : 0.018388
Epoch 308, lr 1e-05

(308,400) 0 step loss : 0.001135
(308,400) epoch loss : 0.018163
Epoch 309, lr 1e-05

(309,400) 0 step loss : 0.001125
(309,400) epoch loss : 0.017999
Epoch 310, lr 1e-05

(310,400) 0 step loss : 0.001114
(310,400) epoch loss : 0.017823
Epoch 311, lr 1e-05

(311,400) 0 step loss : 0.001104
(311,400) epoch loss : 0.017667
Epoch 312, lr 1e-05

(312,400) 0 step loss : 0.001095
(312,400) epoch loss : 0.017513
Epoch 313, lr 1e-05

(313,400) 0 step loss : 0.001081
(313,400) epoch loss : 0.017292
Epoch 314, lr 1e-05

(314,400) 0 step loss : 0.001071
(314,400) epoch loss : 0.017139
Epoch 315, lr 1e-05

(315,400) 0 step loss : 0.001064
(315,400) epoch loss : 0.017016
Epoch 316, lr 1e-05

(316,400) 0 step loss : 0.001055
(316,400) epoch loss : 0.016877
Epoch 317, lr 1e-05

(317,400) 0 step loss : 0.001042
(317,400) epoch loss : 0.016670
Epoch 318, lr 1e-05

(318,400) 0 step loss : 0.001036
(318,400) epoch loss : 0.016580
Epoch 319, lr 1e-05

(319,400) 0 step loss : 0.001026
(319,400) epoch loss : 0.016410
Epoch 320, lr 1e-05

(320,400) 0 step loss : 0.001017
(320,400) epoch loss : 0.016276
Epoch 321, lr 1e-05

(321,400) 0 step loss : 0.001009
(321,400) epoch loss : 0.016146
Epoch 322, lr 1e-05

(322,400) 0 step loss : 0.001003
(322,400) epoch loss : 0.016041
Epoch 323, lr 1e-05

(323,400) 0 step loss : 0.001000
(323,400) epoch loss : 0.016008
Epoch 324, lr 1e-05

(324,400) 0 step loss : 0.000996
(324,400) epoch loss : 0.015941
Epoch 325, lr 1e-05

(325,400) 0 step loss : 0.000985
(325,400) epoch loss : 0.015754
Epoch 326, lr 1e-05

(326,400) 0 step loss : 0.000978
(326,400) epoch loss : 0.015648
Epoch 327, lr 1e-05

(327,400) 0 step loss : 0.000974
(327,400) epoch loss : 0.015583
Epoch 328, lr 1e-05

(328,400) 0 step loss : 0.000961
(328,400) epoch loss : 0.015373
Epoch 329, lr 1e-05

(329,400) 0 step loss : 0.000960
(329,400) epoch loss : 0.015364
